GEO_TYPE,GEO_ID,GEO_LABEL,GEO_DISPLAY_NAME,,Latino ,White ,Black ,Native American ,Asian or Pacific Islander ,Other Race ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005020400,"Census Tract 204, Bronx County, New York",,0,69.90457,5.896387,9.577369,0,10.02045,4.601227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005020501,"Census Tract 205.01, Bronx County, New York",,0,70.18707,0.206216,29.42996,0,0.176757,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005020502,"Census Tract 205.02, Bronx County, New York",,0,61.75355,2.796209,35.0237,0,0.236967,0.189573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005020601,"Census Tract 206.01, Bronx County, New York",,0,41.05663,4.074586,8.252762,0,31.5953,15.02072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005020900,"Census Tract 209, Bronx County, New York",,0,61.79725,3.22872,33.64191,0,0.158049,1.17408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005021001,"Census Tract 210.01, Bronx County, New York",,0,41.60448,1.409619,46.35158,0.528607,8.447347,1.658375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005021002,"Census Tract 210.02, Bronx County, New York",,0,22.52699,2.334403,57.33878,0,14.25445,3.545375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005021100,"Census Tract 211, Bronx County, New York",,0,60.03846,0.230769,39.13462,0,0.115385,0.480769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005021200,"Census Tract 212, Bronx County, New York",,0,34.58778,1.357905,35.28613,0,25.7226,3.045587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005021301,"Census Tract 213.01, Bronx County, New York",,0,80.64516,4.272014,15.08282,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
